Article Text,Category
". Աշխատանքային խմբի կողմից վեր հանված խնդիրները հիմնականում վերաբերել են տեղամասային կենտրոնների վերաբերյալ ծանուցված չլինելուն, այլ հասցեում հաշվառում ունենալուն, սակայն  ընտրության օրն իրենց նախընտրած վայրում ընտրական իրավունքն իրացնելու խնդրին, անձնագիր չունենալու, դրա վավերականության ժամկետը լրացած լինելու պարագայում այլ փաստաթղթով ընտրություններին մասնակցելու հնարավորությանը, կացության կարգավիճակ ունենալու դեպքում ընտրացուցակներում տվյալների բացակայության պատճառով ընտրական իրավունքն իրացնել չկարողանալուն, տեղամասային ընտրական կենտրոններ ինքնուրույն ներկայանալու հնարավորություն չունեցող (անկողնային հիվանդ, ինքնուրույն տեղաշարժվելու խնդիր ունեցող) անձանց ընտրական իրավունքի իրացմանը, Երևանում 6 ամսից պակաս հաշվառում չունենալու դեպքում ընտրություններին մասնակցելու հնարավորությունից զրկված լինելուն, քվեարկության կարգին և ընտրատեղամասի մատչելիությանը։",Հասարակություն
". Մշտադիտարկման արդյունքում արձանագրվել են նաև ընտրողների ուղղորդումների, տեղամասերում կողմնակի անձանց ներկայության, քվեախցիկների պատշաճ կահավորման, նույնականացման սարքերի տեխնիկական վիճակի հետ կապված առերևույթ խնդիրներ:",Հասարակություն
". Մարդու իրավունքների պաշտպանի աշխատակազմը հատուկ ուշադրությամբ ուսումնասիրում է լրագրողների և դիտորդների աշխատանքի հնարավոր խոչընդոտների վերաբերյալ տեղեկատվությունը, վերջիններիս գործունեությանը խոչընդոտելու առերևույթ դեպքերը։",Հասարակություն
". Հիշեցնենք, որ Պաշտպանի աշխատակազմն այսօր աշխատում է արտակարգ ռեժիմով, քաղաքացիներին տրամադրվում է իրավական խորհրդատվություն, իսկ անհրաժեշտության դեպքում իրականացվում է արագ արձագանքում:",Հասարակություն
"Ընտրական իրավունքների իրացմանն առնչվող բողոքները Պաշտպանին կարելի է ուղղել
Կիսվել






Այս թեմայով
ԿԸՀ-ի պարզաբանումը՝ տեղամասերում ուղղորդում կատարելու լուրերի մասին

Ժամը 17։00-ի դրությամբ Երևանի ավագանու ընտրություններին մասնակցել է ընտրողների 21.36 տոկոսը

Քարոզարշավի ընթացքում Ոստիկանությունում ստացվել է 26 հաղորդում, 8-ը՝ առերևույթ հանցագործության հատկանիշներ պարունակող
Ընտրական տեղամասում գտնվելու իրավունք չունեցող անձինք են հայտնաբերվել. ԿԸՀ անդամ

Ժամը 14։00-ի դրությամբ Երևանի ավագանու ընտրություններին մասնակցել է ընտրողների 13,92 տոկոսը
89 Հնդկաստանի քաղաքացի այս ընտրություններին ընտրական իրավունք ունի. ՆԳՆ աշխատակից
Ժամը 11:00-ի դրությամբ Երևանի քաղաքապետի ընտրությանը մասնակցել է 47 671 քաղաքացի

Երևանում առավոտյան ժամը 08:00-ին բացվել են բոլոր 475 ընտրատեղամասերը. ԿԸՀ նախագահ
Լարվածությունը պահպանվում է․ Արարատ Միրզոյանը՝ սահմանային իրավիճակի մասին

ՊՆ-ն հայտնում է, որ Պապիկյանը սեպտեմբերի 13-ի վաղ առավոտյան՝ ժամը 08։10-ին, այցելել է «Եռաբլուր»

",Հասարակություն
"Ժամը 14։00-ի դրությամբ Երևանի ավագանու ընտրություններին Երևան համայնքի 824. 250  հազար ընտրողներից քվեարկությանը մասնակցել է 114 հազար 759 ընտրող, որը կազմում է 13.92 տոկոս։Տվյալները ԿԸՀ-ում ներկայացրեց ԿԸՀ անդամ Սիլվա Մարկոսյանը։",Հասարակություն
"Աջափնյակ-11,477 մարդ, կամ 13,83%",Հասարակություն
"Ավան- 6,114մարդ, կամ 15,66%",Հասարակություն
"Արաբկիր- 14,192մարդ, կամ 15,01%",Հասարակություն
"Դավթաշեն- 5,228 մարդ, կամ 15,61%",Հասարակություն
"Էրեբունի 10,552 մարդ, կամ 11,83%",Հասարակություն
"Կենտրոն- 13,638մարդ, կամ 14,37%",Հասարակություն
"Մալաթիա-Սեբաստիա 13,587 մարդ, կամ 12,78%",Հասարակություն
"Նոր Նորք- 14,181մարդ, կամ 14,55%",Հասարակություն
"Նորք Մարաշ- 1,694մարդ, կամ 15,88%",Հասարակություն
"Նուբարաշեն- 1,014 մարդ, կամ 12,57%",Հասարակություն
"Շենգավիթ- 14,622 մարդ, կամ 13,2%",Հասարակություն
"Քանաքեռ Զեյթուն- 8,460մարդ, 14,91%:",Հասարակություն
"Համեմատության համար նշենք, որ 2018 թ. սեպտեմբերի 23-ին տեղի ունեցած Երևանի ավագանու ընտրություններին ժամը 14։00-ի դրությամբ մասնակցության ցուցանիշը  23.72 տոկոս էր։",Հասարակություն
" Հայաստանի Կենտրոնական ընտրական հանձնաժողովը ընտրողների ակտիվության վերաբերյալ նոր տվյալներ կհաղորդի ժամը 18.00-ին։ Սա կլինի ընտրողների մասնակցությունը տեղական ժամանակով ժամը 17.00-ին, այսինքն՝ քվեարկության ավարտից 3 ժամ առաջ։",Հասարակություն
"Կենտրոնական ընտրական հանձնաժողովի անդամ Ժիրայր Կարապետյանը ներկայացրել է մինչև ժամը 14:00-ն Հանձնաժողովի իրավիճակային վերլուծության կենտրոնի ստացած ահազանգերի վերաբերյալ տեղեկատվությունը, հայտնում է Արմենպրեսը։",Հասարակություն
"Կենտրոնական ընտրական հանձնաժողովում կայացած ասուլիսի ընթացքում նա հայտնեց, որ քաղաքացիների դժգոհությունների մեծ մասը կապված է ընտրողների՝ ծանուցում չստանալու հանգամանքով:",Հասարակություն
"«Բացը լրացվում է ԿԸՀ աշխատակիցների կողմից ընտրողներին տրամադրված տեղեկատվությամբ իրենց տեղամասերի համարների և գտնվելու վայրերի վերաբերյալ: Հարցը փորձում ենք կարգավորել նաև այլ տեղեկատվական եղանակով՝ ԿԸՀ կայքի միջոցով, որտեղ քաղաքացիները հնարավորություն ունեն գտնել իրենց տեղամասերը: Կայքը մշտապես գործում է»,- նշեց նա:",Հասարակություն
"Ստացվել է նաև տեղեկատվություն տեղամասում գտնվելու իրավունք չունեցող անձանց կողմից տեղամասում լինելու վերաբերյալ: Տեղեկատվությունն ուսումնասիրվել է, որի արդյունքում պարզվել է, որ միջազգային գործընկերները՝ այցելուները կամ միջազգային դիտորդները, տեղամասային կենտրոն են ներկայացել Ընտրական օրենսգրքով սահմանված թարգմանչի ուղեկցությամբ, և որևէ խնդիր այդ առումով չի եղել, սակայն, հաշվի առնելով տեղական դիտորդների արձագանքը և  փաստը որպես իրավախախտում կամ խախտում ներկայացնելը, ԿԸՀ-ն հանդես է եկել հայտարարությամբ և պարզաբանել է, որ ԿԸՀ-ն թարգմանչի վկայականի ձև չի սահմանել և թարգմանիչներին վկայականներ չի տրամադրել: Վերջիններս հանձնաժողովի նիստերին, ինչպես նաև քվեարկության ընթացքում քվեարկության սենյակում ներկա գտնվելու համար վկայական կրելու պարտականություն չունեն։ Դրանով խնդիրը լուծվել է:",Հասարակություն
Մանրամասն՝ սկզբնաղբյուր կայքում։,Հասարակություն
